"state","Year","Month","Avg_Natural_Cause","Avg_Septicemia","Avg_Malignant_neoplasms","Avg_Diabetes_mellitus","Avg_Alzheimer_disease","Avg_Influenza_and_pneumonia","Avg_Chronic_lower_respiratory_diseases","Avg_Other_diseases_of_respiratory_system","Avg_Nephritis_nephrotic_syndrom_and_nephrosis","Avg_Symptoms_signs_abnormal_clinical_laboratory_findings","Avg_Diseases_of_heart","Avg_Cerebrovascular_diseases","Avg_COVID-19 (Underlying Cause of Death)","Avg_COVID-19 (Multiple Cause of Death)"
"Montana",2020,9,208,NULL,41,NULL,NULL,NULL,13,NULL,NULL,0,45,11,17,19
"Massachusetts",2022,9,1010,17,226,21,28,17,36,16,22,118,185,39,22,38
"Alabama",2020,10,1078,17,191,24,56,18,55,17,18,16,275,56,113,124
"Utah",2022,5,362,10,71,14,20,NULL,16,12,11,NULL,90,17,NULL,NULL
"Arizona",2021,9,1435,14,250,47,61,18,67,21,16,21,280,59,259,276
"Virginia",2022,2,1667,20,305,61,51,23,54,24,35,17,336,81,270,326
"Oklahoma",2021,12,913,NULL,157,28,36,18,66,10,11,11,242,40,114,134
"New Hampshire",2021,6,219,NULL,53,10,10,NULL,14,NULL,NULL,NULL,51,11,NULL,NULL
"Maine",2020,10,256,0,64,15,12,NULL,14,NULL,0,0,54,13,NULL,NULL
"Pennsylvania",2020,6,2360,41,522,71,68,28,98,35,45,50,573,121,174,202
"Puerto Rico",2020,5,527,14,99,58,51,11,20,10,18,12,99,20,12,12
"Ohio",2022,6,2131,34,450,68,78,27,130,40,44,56,529,126,55,80
"Delaware",2020,11,183,NULL,33,12,13,0,10,NULL,NULL,0,36,15,18,21
