"state","Year","Month","Avg_Natural_Cause","Avg_Septicemia","Avg_Malignant_neoplasms","Avg_Diabetes_mellitus","Avg_Alzheimer_disease","Avg_Influenza_and_pneumonia","Avg_Chronic_lower_respiratory_diseases","Avg_Other_diseases_of_respiratory_system","Avg_Nephritis_nephrotic_syndrom_and_nephrosis","Avg_Symptoms_signs_abnormal_clinical_laboratory_findings","Avg_Diseases_of_heart","Avg_Cerebrovascular_diseases","Avg_COVID-19 (Underlying Cause of Death)","Avg_COVID-19 (Multiple Cause of Death)"
"South Dakota",2021,1,187,0,35,10,12,0,12,NULL,NULL,0,33,NULL,34,40
"West Virginia",2022,7,437,0,94,18,13,10,30,NULL,11,33,87,17,15,23
"Oregon",2022,7,735,10,169,24,38,11,33,12,10,42,132,51,26,47
"Colorado",2020,8,715,10,155,20,37,NULL,44,11,13,10,154,38,25,30
"Wyoming",2020,7,85,0,17,NULL,NULL,NULL,NULL,0,NULL,NULL,20,NULL,0,0
"Hawaii",2020,5,195,NULL,47,NULL,11,NULL,11,NULL,NULL,0,42,17,0,0
"United States",2022,7,53467,766,11515,1761,2114,683,2510,879,1021,2461,12345,2966,1906,2846
"Louisiana",2020,10,892,23,172,26,48,12,41,21,19,13,219,53,67,77
"Ohio",2020,1,2612,45,493,80,114,50,158,46,47,40,616,140,223,247
"Maine",2021,1,330,0,67,10,12,NULL,19,NULL,NULL,0,62,13,53,59
"Virginia",2020,5,1422,17,277,50,59,15,68,20,32,13,283,73,191,203
"West Virginia",2021,9,587,NULL,97,20,19,12,33,14,13,17,105,20,134,150
"Wisconsin",2021,3,941,11,209,33,40,12,42,12,15,NULL,231,52,28,42
"Kansas",2021,4,463,NULL,105,17,17,11,23,12,NULL,NULL,117,21,14,20
"Oklahoma",2021,2,920,12,146,38,31,10,52,14,12,NULL,244,40,171,207
"Mississippi",2020,9,671,NULL,119,28,38,15,31,11,13,10,162,32,93,108
"Arizona",2021,7,1123,11,246,42,40,14,58,18,15,17,258,57,57,63
"Mississippi",2022,7,611,NULL,118,24,26,11,39,11,14,12,168,29,28,46
"New Mexico",2021,6,336,NULL,72,12,10,NULL,22,NULL,13,0,65,16,15,14
"Colorado",2021,12,1013,12,152,24,35,11,55,15,11,NULL,179,36,240,260
"Michigan",2022,1,2589,29,393,88,89,30,108,28,43,22,604,124,549,643
"Tennessee",2022,7,1387,17,284,46,51,20,69,21,19,68,322,78,58,82
"New York",2021,5,1421,18,309,42,29,29,50,27,27,27,378,65,108,129
"Iowa",2020,2,579,11,119,20,25,15,35,14,10,11,154,30,0,0
"Alaska",2021,10,145,0,21,NULL,0,0,NULL,0,0,0,19,NULL,47,50
"Hawaii",2022,2,264,NULL,52,NULL,13,NULL,11,NULL,NULL,NULL,60,19,24,28
"Ohio",2021,4,2221,36,457,80,76,27,104,37,43,30,565,131,125,156
"Washington",2021,7,1146,11,271,50,62,11,46,16,11,16,266,60,33,38
"Virginia",2021,4,1320,17,272,53,44,15,62,23,24,17,305,73,94,109
"Nevada",2020,5,481,NULL,100,16,17,11,25,NULL,6,NULL,132,28,36,39
"Wisconsin",2022,3,1001,12,221,25,40,14,53,11,21,12,243,51,34,49
"New Jersey",2020,5,2234,37,281,52,61,38,54,39,28,26,383,71,807,892
"Puerto Rico",2020,6,535,12,103,56,50,10,17,NULL,17,11,111,25,NULL,NULL
"Michigan",2021,2,1971,24,399,74,86,22,100,21,42,11,503,110,144,177
"Colorado",2020,6,725,11,152,21,35,NULL,45,13,10,NULL,157,37,35,45
"Missouri",2022,7,1143,19,248,32,49,16,59,21,33,11,286,59,44,58
"South Carolina",2021,8,1166,16,204,33,45,12,50,18,14,12,225,55,226,238
"New Jersey",2021,4,1515,37,281,39,46,22,47,33,34,22,337,71,221,249
"Connecticut",2021,12,684,11,125,15,22,11,26,13,15,11,147,29,75,80
"Rhode Island",2020,7,161,NULL,37,NULL,NULL,0,10,NULL,NULL,0,37,0,15,15
"Arkansas",2021,11,683,12,116,25,28,12,50,10,13,NULL,171,34,45,52
"Connecticut",2021,6,510,12,128,12,16,NULL,18,13,14,13,116,25,NULL,10
"Michigan",2022,9,1701,22,377,52,70,15,83,23,37,95,415,110,57,86
"South Dakota",2021,7,144,NULL,38,NULL,11,NULL,12,0,0,0,26,10,0,0
"Tennessee",2021,6,1380,15,301,50,49,17,97,20,24,17,338,74,41,50
"Nevada",2020,6,488,NULL,110,12,17,NULL,25,NULL,NULL,10,137,28,17,20
"New Mexico",2020,11,515,NULL,66,12,14,10,26,NULL,NULL,NULL,73,17,171,179
"Florida",2021,4,4149,52,926,148,125,49,207,48,58,63,957,281,308,352
"South Carolina",2020,5,943,17,197,37,39,13,55,15,15,12,197,55,62,65
"Puerto Rico",2021,8,629,15,105,62,55,11,20,15,19,NULL,107,22,61,67
"Tennessee",2021,10,1748,27,275,53,50,26,79,21,25,14,364,82,366,397
"West Virginia",2022,8,429,NULL,90,17,14,10,28,NULL,12,34,80,22,20,30
"Puerto Rico",2021,11,556,12,101,61,54,13,22,10,25,NULL,91,23,NULL,10
"Nevada",2020,7,546,NULL,109,14,13,10,29,NULL,NULL,NULL,152,25,68,72
"Kentucky",2022,7,876,18,190,29,26,12,56,20,21,17,208,34,43,68
"Kansas",2020,6,455,NULL,91,24,18,NULL,25,NULL,12,NULL,107,23,16,18
"Texas",2022,9,3173,47,686,90,149,35,138,60,68,246,648,180,98,140
"Oregon",2020,12,861,NULL,172,28,45,NULL,33,11,12,12,161,50,114,133
"Nebraska",2021,8,333,0,76,11,14,NULL,17,NULL,NULL,NULL,69,17,26,32
"Florida",2020,3,4013,54,918,138,128,91,270,60,62,68,974,304,53,55
"New Mexico",2022,3,378,NULL,71,15,13,NULL,22,10,12,NULL,77,14,29,36
"New Hampshire",2020,1,243,NULL,51,NULL,12,0,15,NULL,NULL,NULL,60,11,14,15
"Michigan",2021,10,2085,27,415,61,80,29,101,23,37,14,503,107,273,295
"Vermont",2021,3,102,0,25,NULL,17,0,NULL,0,0,0,29,NULL,NULL,NULL
"Arkansas",2021,3,642,19,124,29,26,NULL,41,NULL,12,NULL,159,37,41,50
"Texas",2020,1,4392,70,822,152,228,95,229,72,88,36,1014,232,377,402
"Oregon",2021,8,818,NULL,166,27,39,NULL,31,12,10,15,147,39,114,124
"New Mexico",2022,8,331,NULL,62,15,13,NULL,17,NULL,NULL,32,69,17,14,17
"Oregon",2020,1,715,NULL,163,30,38,15,43,13,11,12,135,42,20,24
"Louisiana",2022,3,885,22,165,32,40,11,43,20,18,10,250,52,49,63
"Tennessee",2022,6,1390,18,305,42,57,22,78,20,22,31,359,82,32,49
"Massachusetts",2020,10,1030,15,247,31,33,19,41,15,22,12,231,41,35,42
"Montana",2022,2,240,NULL,39,NULL,NULL,NULL,12,NULL,NULL,0,52,10,37,48
"Georgia",2022,7,1643,35,344,44,76,19,86,42,39,46,376,84,65,89
"Nevada",2022,2,689,NULL,102,18,16,10,36,NULL,NULL,13,158,31,155,177
"Kansas",2020,8,502,12,99,18,18,NULL,28,12,12,10,112,23,37,41
"Connecticut",2020,12,810,13,135,19,24,13,24,10,11,NULL,144,31,216,234
"Vermont",2020,12,120,0,27,NULL,NULL,0,12,0,0,0,29,NULL,13,15
"Texas",2021,2,5608,80,813,191,233,69,204,67,97,45,1097,255,1377,1500
"Florida",2020,4,4094,53,877,149,140,70,243,46,57,63,938,301,272,290
"Alaska",2020,10,87,0,23,NULL,NULL,0,NULL,0,0,0,19,NULL,NULL,10
"Vermont",2021,10,128,0,25,NULL,NULL,0,10,0,0,0,32,NULL,13,12
"West Virginia",2021,1,596,NULL,95,28,19,12,32,NULL,14,11,111,18,135,149
"California",2020,2,5295,35,1174,211,363,184,307,68,99,18,1350,335,0,0
"Texas",2022,7,4088,67,835,139,192,45,168,68,92,215,905,224,162,222
"Michigan",2022,7,1746,21,390,53,70,23,86,25,29,57,470,105,44,70
"Nebraska",2020,4,314,NULL,66,17,13,10,21,NULL,NULL,NULL,63,16,18,19
"North Dakota",2020,6,131,NULL,28,NULL,NULL,0,NULL,NULL,NULL,0,25,10,NULL,NULL
"Illinois",2020,2,2033,32,454,60,81,62,116,33,56,23,518,121,0,0
"California",2021,8,5544,32,1151,205,305,89,210,60,90,44,1194,328,688,742
"West Virginia",2020,12,597,10,94,25,18,11,31,NULL,14,14,104,17,153,164
"New Mexico",2021,5,355,NULL,75,14,15,NULL,18,10,0,NULL,74,18,15,18
"Mississippi",2022,9,543,NULL,106,21,31,14,31,NULL,11,20,144,28,22,34
"Wisconsin",2022,2,1167,16,223,32,50,13,55,13,16,11,270,52,124,161
"Oklahoma",2021,4,713,11,154,27,23,13,45,10,NULL,NULL,223,34,31,44
"New York",2021,2,1935,24,300,55,39,34,56,29,29,22,445,66,472,528
"Massachusetts",2022,8,1114,20,253,31,28,15,36,22,27,131,198,42,31,45
"United States",2021,12,65538,856,11872,2107,2439,1019,3049,970,1141,815,14515,3357,8928,9819
"Utah",2020,8,376,NULL,73,14,19,NULL,20,NULL,NULL,NULL,84,20,19,23
"Tennessee",2020,10,1598,17,294,54,66,26,90,19,18,17,359,81,190,209
"Nevada",2022,4,516,NULL,109,15,17,10,35,NULL,NULL,10,138,31,15,17
"Kansas",2022,2,645,10,99,19,16,12,34,12,14,10,126,29,120,138
"Ohio",2020,7,2247,32,474,78,105,30,114,37,43,31,562,119,121,138
"Illinois",2022,9,1841,24,402,46,62,28,81,26,41,181,391,113,48,71
"Kentucky",2020,6,851,16,190,24,30,13,47,14,16,14,199,44,34,36
"West Virginia",2020,9,412,NULL,90,19,15,NULL,30,NULL,12,10,86,20,22,27
"New Mexico",2021,3,385,NULL,77,15,12,NULL,22,NULL,NULL,NULL,79,15,30,35
"North Dakota",2022,7,119,NULL,23,NULL,NULL,NULL,NULL,0,NULL,NULL,29,NULL,NULL,10
"District of Columbia",2020,7,102,NULL,23,NULL,0,0,NULL,0,0,0,25,NULL,11,14
"Washington",2021,3,1079,11,260,42,62,11,51,17,NULL,13,234,61,37,46
"Arizona",2020,11,1293,12,237,44,58,15,59,16,11,18,279,56,170,189
"Minnesota",2020,6,859,11,199,24,47,11,40,13,13,18,152,43,76,91
"Kentucky",2022,2,1226,17,191,35,35,14,59,20,25,16,249,49,279,339
"New Jersey",2022,1,2237,49,309,59,66,26,66,45,41,29,467,78,597,707
"Arkansas",2020,6,599,13,115,24,29,13,43,NULL,14,NULL,161,33,31,38
"Alaska",2022,6,89,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,0,17,NULL,NULL,NULL
"South Dakota",2020,10,205,0,33,12,11,0,NULL,NULL,0,0,40,12,52,57
"Georgia",2021,8,2276,38,358,62,94,23,92,40,46,27,439,98,547,580
"Montana",2022,3,204,NULL,41,10,NULL,NULL,12,NULL,NULL,NULL,46,14,14,17
"Connecticut",2021,4,545,12,120,15,16,NULL,19,11,13,0,128,25,41,45
"Tennessee",2021,8,1713,20,287,53,56,23,87,20,22,17,367,82,328,343
"Oklahoma",2020,11,1019,NULL,153,30,43,12,61,10,14,NULL,234,39,245,281
"Minnesota",2022,2,963,10,192,26,52,12,40,15,12,26,176,51,99,140
"Texas",2021,1,6162,69,808,176,250,73,205,68,105,41,1067,260,1961,2093
"Maryland",2021,5,921,18,206,32,17,12,35,14,16,10,226,59,72,86
"Arizona",2021,2,1553,11,243,44,50,16,66,23,17,17,284,58,397,435
"Nebraska",2020,2,319,0,75,13,14,14,22,NULL,10,NULL,67,15,0,0
"Hawaii",2021,2,231,0,50,11,12,NULL,NULL,NULL,NULL,NULL,58,21,NULL,NULL
"South Carolina",2021,5,942,13,201,28,40,11,58,18,15,13,211,52,46,52
"New York",2021,12,1732,23,319,50,33,46,61,32,25,34,438,67,227,253
"Maryland",2022,4,881,16,208,29,19,13,39,12,13,11,215,62,15,24
"Connecticut",2020,8,507,NULL,125,16,21,NULL,19,10,11,NULL,119,27,NULL,10
"New Jersey",2020,12,1919,45,300,54,54,22,52,44,33,24,397,78,467,510
"Alaska",2020,4,70,0,16,0,NULL,NULL,NULL,0,0,0,14,0,0,0
"Virginia",2022,8,1398,17,305,44,46,16,55,22,33,82,294,77,54,78
"Ohio",2021,10,2867,45,501,90,102,32,133,47,43,34,591,144,560,616
"Florida",2020,10,3972,46,872,139,129,48,196,44,62,66,888,279,280,318
"Colorado",2022,9,698,13,151,19,29,NULL,38,10,11,87,117,33,15,27
"Wisconsin",2022,6,937,13,206,29,36,11,50,13,16,35,222,54,20,31
"Colorado",2022,6,748,11,166,22,34,12,42,12,13,11,162,33,24,43
"New Jersey",2022,8,1319,37,286,33,38,13,41,35,31,94,314,60,38,55
"Maine",2021,2,274,0,58,13,13,NULL,13,NULL,NULL,0,58,11,20,24
"Minnesota",2021,7,780,10,195,27,44,NULL,37,14,11,24,152,40,16,14
"Hawaii",2020,4,202,0,53,NULL,12,NULL,10,NULL,NULL,NULL,43,18,NULL,NULL
"Arkansas",2022,4,595,12,121,24,32,11,41,11,16,NULL,152,32,12,16
"West Virginia",2022,5,417,NULL,80,15,15,11,32,NULL,13,13,98,20,14,20
"Illinois",2020,1,2212,34,455,63,89,50,115,31,53,21,527,135,139,160
"New York",2020,7,1310,16,308,45,28,28,53,26,29,20,377,52,38,53
"Alaska",2021,7,87,NULL,17,NULL,NULL,NULL,NULL,0,0,NULL,19,NULL,7,8
"Alaska",2020,3,69,0,18,0,0,NULL,NULL,NULL,0,0,15,NULL,0,0
"Washington",2020,4,1155,14,231,44,72,18,54,18,11,13,234,58,126,135
"New Jersey",2022,4,1272,34,286,41,43,21,50,30,28,28,330,68,24,34
"Maine",2020,12,310,0,65,12,15,NULL,16,NULL,NULL,0,62,12,39,42
"Idaho",2020,3,273,0,62,11,15,NULL,18,0,NULL,NULL,63,12,0,0
"Idaho",2020,8,295,0,56,12,15,NULL,16,NULL,NULL,NULL,61,16,38,41
"Vermont",2020,11,109,0,27,NULL,NULL,0,12,0,0,0,31,0,0,0
"New Jersey",2020,2,1407,43,306,39,51,30,63,45,31,23,367,73,0,0
"Missouri",2022,1,1765,21,256,47,69,25,89,25,37,NULL,384,64,419,468
"California",2021,7,4768,35,1132,183,279,70,197,46,86,40,1141,330,147,176
"Maryland",2020,1,1009,16,210,32,24,23,43,14,16,NULL,252,61,61,69
"Indiana",2020,9,1232,22,261,44,49,11,76,20,27,10,269,60,80,91
"Arkansas",2022,2,846,14,130,31,35,14,53,10,19,NULL,177,34,175,204
"Maryland",2022,8,884,23,206,25,20,13,31,13,12,20,203,60,30,49
"New Mexico",2021,9,419,NULL,83,16,15,NULL,18,10,NULL,NULL,73,16,74,81
"Tennessee",2020,5,1334,18,277,49,71,25,75,19,19,14,338,70,41,44
"Missouri",2021,6,1187,18,263,35,44,16,71,29,29,13,298,58,57,62
"North Dakota",2021,2,129,NULL,27,NULL,NULL,NULL,NULL,0,NULL,0,27,10,10,12
"New York",2020,12,1879,20,313,55,37,33,59,28,33,24,449,67,391,428
"Wisconsin",2021,11,1220,12,231,39,60,11,48,12,14,NULL,267,54,172,196
"Ohio",2020,3,2308,38,475,80,116,65,160,49,41,33,587,130,20,22
"Indiana",2020,2,1298,25,280,44,57,28,100,24,31,11,307,72,0,0
"Arkansas",2021,5,609,12,123,27,28,12,42,10,15,NULL,153,33,16,21
"Oklahoma",2022,4,728,11,152,31,26,10,49,NULL,10,19,213,38,17,30
"Florida",2022,9,3590,43,801,107,104,37,177,46,57,291,749,280,130,212
"Louisiana",2020,7,993,20,168,35,43,13,43,19,22,15,237,49,134,148
"Missouri",2020,12,1790,21,263,44,62,22,85,32,36,15,341,71,497,540
"Idaho",2022,1,352,0,65,12,19,NULL,22,NULL,NULL,NULL,71,15,51,59
"North Carolina",2021,7,1748,32,380,64,74,22,91,28,33,18,393,103,56,68
"District of Columbia",2022,2,116,NULL,18,NULL,0,0,NULL,0,0,0,30,11,15,20
"Alabama",2020,1,1146,21,197,24,56,27,72,18,22,28,278,68,95,127
"Florida",2020,5,3872,49,855,144,131,53,211,45,60,50,901,276,229,264
"Wyoming",2022,5,88,0,20,NULL,NULL,0,NULL,0,0,0,23,NULL,0,NULL
"Maryland",2020,2,919,15,209,32,20,23,47,13,16,NULL,236,61,0,0
"New Hampshire",2020,10,224,NULL,55,10,12,0,11,NULL,0,0,53,11,11,13
"West Virginia",2022,9,403,NULL,73,16,11,NULL,25,0,11,38,80,16,19,28
"Tennessee",2020,9,1505,17,280,47,73,26,79,25,17,20,350,77,152,165
"North Carolina",2022,4,1726,31,383,64,76,20,99,32,39,45,372,111,27,46
"Arkansas",2021,12,729,11,128,28,30,13,54,10,17,10,173,39,75,81
"Delaware",2022,7,187,0,47,NULL,11,NULL,10,NULL,NULL,NULL,37,14,NULL,11
"Pennsylvania",2021,7,2227,47,519,71,64,29,98,38,57,40,565,121,30,39
"Massachusetts",2020,9,969,13,237,26,29,15,41,16,19,12,217,40,15,23
"Pennsylvania",2020,10,2477,47,514,74,89,34,101,39,55,41,610,137,137,160
"Missouri",2021,5,1135,18,250,34,41,15,59,23,28,11,293,55,39,48
"Kansas",2022,3,540,10,100,18,17,10,31,10,15,17,130,25,30,41
"Delaware",2020,1,192,0,35,NULL,12,NULL,12,0,NULL,0,47,16,12,14
"United States",2020,5,58816,701,11079,1904,2467,857,2763,799,937,568,12830,2905,8717,9426
"Kansas",2022,1,787,11,108,26,23,11,42,12,15,NULL,142,30,187,210
"Utah",2021,5,355,NULL,77,15,18,NULL,14,NULL,NULL,NULL,78,16,12,14
"Utah",2021,11,449,NULL,69,17,22,10,18,NULL,NULL,NULL,90,17,77,83
"Maine",2020,9,276,NULL,69,12,13,NULL,14,NULL,NULL,0,63,15,NULL,NULL
"Oregon",2020,3,705,NULL,151,27,43,15,47,13,13,13,140,43,7,7
"New York",2020,9,1312,17,321,44,30,28,49,27,25,19,367,55,17,23
"Montana",2022,5,197,NULL,45,NULL,11,NULL,13,NULL,NULL,NULL,44,13,NULL,NULL
"Kentucky",2022,4,922,17,192,30,27,17,62,17,24,15,231,42,29,49
"Illinois",2021,2,2282,33,460,70,84,31,92,30,45,24,527,137,241,277
"United States",2021,9,66922,811,11713,2025,2319,819,2737,883,1047,734,13267,3087,14159,15150
"North Dakota",2021,1,139,NULL,21,NULL,12,0,NULL,0,NULL,0,31,NULL,19,22
"Ohio",2020,10,2430,38,494,83,116,29,124,41,43,34,564,137,185,215
"Alabama",2022,8,978,17,185,25,48,17,54,21,20,37,246,53,44,59
"West Virginia",2021,5,417,NULL,88,17,15,11,24,12,14,14,91,18,27,31
"Wyoming",2021,7,85,0,17,0,0,0,10,NULL,0,0,18,0,11,13
"Michigan",2022,4,1771,21,395,56,87,25,103,26,39,23,481,108,32,56
"Colorado",2022,3,772,13,149,22,35,NULL,43,15,14,NULL,167,46,36,59
"Oklahoma",2020,10,846,11,165,28,40,10,54,NULL,12,NULL,223,31,110,131
"Missouri",2020,7,1176,14,258,34,50,15,62,22,33,12,313,56,48,55
"Alabama",2020,11,1195,16,206,27,61,15,59,16,25,22,285,59,161,174
"Wyoming",2021,6,94,0,21,NULL,NULL,0,13,0,0,0,21,0,NULL,NULL
"New Jersey",2020,4,4136,54,315,97,112,95,104,70,45,48,573,95,1963,2055
"Michigan",2020,5,2024,19,362,67,94,31,97,20,31,12,481,107,318,348
"Kentucky",2021,11,1062,19,199,35,30,16,65,18,25,16,236,46,113,131
"Vermont",2021,8,110,0,28,0,NULL,0,10,0,0,0,27,NULL,NULL,NULL
"Kansas",2021,8,546,NULL,106,16,15,10,24,12,11,NULL,105,27,86,91
"Montana",2022,4,178,NULL,35,NULL,NULL,0,11,NULL,NULL,NULL,43,10,NULL,NULL
"West Virginia",2020,6,377,NULL,91,17,16,NULL,23,NULL,11,12,92,14,NULL,NULL
"Montana",2020,8,188,0,40,10,13,0,14,NULL,NULL,NULL,43,10,13,13
"Iowa",2021,10,682,11,126,21,27,10,28,11,11,11,165,27,94,105
"Kentucky",2021,1,1218,21,201,41,35,15,64,18,18,16,235,51,257,297
"Michigan",2020,4,2965,28,399,89,122,66,134,27,38,16,628,127,814,857
"New Jersey",2021,1,1921,41,279,53,55,29,53,39,38,22,402,75,473,526
"Colorado",2020,1,800,10,170,23,38,19,54,18,12,NULL,165,45,41,52
"Indiana",2022,2,1563,17,266,54,45,16,87,25,35,NULL,321,73,263,315
"Arizona",2022,4,1161,13,256,42,51,16,61,21,16,16,267,66,19,30
"Indiana",2020,4,1471,23,251,49,63,28,93,25,28,11,301,65,229,246
"New Mexico",2020,3,330,NULL,59,16,12,12,22,NULL,13,NULL,85,15,0,0
"Massachusetts",2020,2,1132,20,260,27,35,44,62,22,25,17,235,45,0,0
"Texas",2020,10,4369,61,824,152,231,55,174,51,81,34,952,234,562,618
"Maine",2020,1,293,0,63,11,14,NULL,21,NULL,NULL,0,65,15,10,11
"Colorado",2021,4,718,NULL,150,24,27,NULL,39,14,12,NULL,154,39,37,48
"Ohio",2020,4,2482,45,451,88,134,43,149,48,44,33,560,141,202,219
"California",2020,11,5614,39,1169,236,359,89,222,55,85,27,1270,365,523,571
"Hawaii",2022,8,229,NULL,47,NULL,14,NULL,NULL,NULL,NULL,22,44,18,NULL,12
"South Carolina",2022,8,1004,20,190,27,45,12,51,16,19,68,203,58,44,63
"New Jersey",2021,10,1419,43,308,39,43,22,49,36,28,24,323,73,110,120
"Nebraska",2022,8,299,NULL,65,12,14,NULL,17,NULL,NULL,12,74,14,11,14
"Massachusetts",2020,6,1043,13,225,25,31,19,43,15,21,10,195,39,138,164
"Tennessee",2021,9,2157,22,278,59,57,31,95,20,26,21,390,87,687,723
"Wisconsin",2020,7,942,13,218,28,37,10,48,13,15,11,228,54,26,33
"West Virginia",2020,7,392,NULL,93,17,17,13,25,NULL,11,NULL,90,16,NULL,NULL
"Michigan",2020,3,1953,27,399,63,84,63,126,26,45,11,530,109,61,87
"Connecticut",2020,5,894,12,119,16,24,11,21,15,13,NULL,129,26,361,385
"South Dakota",2022,1,209,NULL,33,NULL,12,NULL,14,0,0,0,45,12,38,41
"Maryland",2022,3,921,19,194,35,21,16,30,10,15,12,234,65,33,50
"Connecticut",2021,7,528,12,125,14,18,NULL,25,11,13,10,127,26,NULL,NULL
"Connecticut",2022,4,570,13,120,12,18,12,24,14,13,15,129,33,13,15
"Kentucky",2020,1,1018,21,201,34,34,27,74,17,21,13,221,47,62,70
"New Mexico",2022,1,540,NULL,69,19,15,NULL,23,11,NULL,NULL,103,22,136,153
"Vermont",2022,1,134,0,24,NULL,NULL,0,NULL,0,NULL,NULL,34,12,15,20
"Virginia",2020,2,1331,17,296,52,60,26,75,29,33,15,309,77,0,0
"South Dakota",2021,9,176,0,34,NULL,11,0,14,NULL,0,0,38,10,24,26
"North Dakota",2020,3,138,NULL,27,NULL,NULL,10,14,NULL,0,NULL,29,11,0,0
"Maine",2021,7,273,0,69,12,10,NULL,17,NULL,NULL,0,62,11,0,NULL
"Delaware",2022,8,168,NULL,38,NULL,NULL,0,12,NULL,NULL,10,36,17,NULL,11
"Florida",2020,11,4073,53,852,150,134,49,203,45,56,61,927,288,360,402
"Oklahoma",2021,1,1136,15,152,29,37,14,59,12,11,0,253,37,350,392
"Illinois",2020,9,1964,28,431,62,81,31,90,25,38,26,482,123,105,127
"Wyoming",2020,5,77,0,16,NULL,NULL,0,10,0,0,0,20,NULL,0,0
"New York",2020,5,2061,19,285,48,32,38,54,25,24,20,446,54,696,759
"Virginia",2021,1,1863,20,300,60,64,21,57,28,34,14,337,91,440,477
"Tennessee",2022,1,2024,25,287,65,69,39,100,21,30,19,441,95,428,478
"Kentucky",2020,8,920,19,189,29,31,12,59,16,16,17,213,45,56,62
"Arkansas",2021,9,781,10,131,31,29,11,36,14,18,NULL,159,29,174,187
"Arizona",2020,8,1377,13,250,55,60,18,66,19,14,26,266,62,228,249
"Indiana",2022,1,1857,17,276,62,52,20,101,23,39,14,341,79,469,531
"Wyoming",2022,3,88,0,18,NULL,NULL,0,13,0,0,0,17,NULL,11,13
"Montana",2021,7,196,NULL,41,10,NULL,0,13,11,NULL,0,49,12,12,12
"New Hampshire",2021,2,244,NULL,53,NULL,10,0,14,NULL,NULL,NULL,53,12,19,23
"West Virginia",2020,5,389,NULL,79,18,16,16,26,NULL,13,NULL,99,18,10,14
"Nebraska",2020,3,319,0,69,15,16,10,25,NULL,NULL,NULL,70,13,0,0
"Iowa",2020,9,577,10,108,21,26,11,30,10,11,10,134,24,50,56
"Arkansas",2020,5,571,NULL,116,26,33,11,45,11,14,NULL,148,31,16,21
"Alaska",2020,12,102,0,19,NULL,NULL,NULL,0,0,0,0,22,NULL,22,24
"West Virginia",2021,8,463,12,88,24,12,10,32,NULL,11,15,99,16,39,43
"Iowa",2022,4,544,10,117,16,25,NULL,30,NULL,10,11,146,25,10,13
"Indiana",2020,1,1422,26,261,49,52,29,105,22,33,11,320,63,119,132
"New Hampshire",2020,11,252,NULL,59,NULL,10,NULL,12,NULL,NULL,NULL,58,15,18,16
"Mississippi",2021,8,886,NULL,119,33,32,13,46,12,17,NULL,175,38,251,269
"Alaska",2022,2,91,0,17,NULL,NULL,0,NULL,0,NULL,0,15,NULL,16,19
"Illinois",2020,7,1913,28,437,57,75,31,82,20,42,27,468,117,96,107
"Nebraska",2022,7,312,NULL,70,12,12,0,19,NULL,NULL,NULL,68,14,12,17
"Nevada",2022,3,546,10,97,17,13,10,29,NULL,NULL,11,153,33,44,54
"Rhode Island",2020,2,200,0,42,11,12,NULL,13,0,NULL,0,49,12,0,0
"Nebraska",2020,5,326,NULL,68,12,13,NULL,20,0,NULL,NULL,64,17,23,25
"Alabama",2020,4,1055,23,187,32,63,20,61,19,18,21,259,64,71,76
"Minnesota",2020,8,795,NULL,193,29,41,NULL,37,13,11,15,160,37,37,46
"Maryland",2021,6,832,16,192,34,21,18,29,11,14,NULL,207,62,23,29
"Alaska",2021,5,84,0,19,NULL,0,0,NULL,0,NULL,0,18,NULL,12,11
"Louisiana",2020,3,943,23,172,39,46,21,55,27,22,16,238,42,73,78
"Illinois",2022,1,3086,38,455,86,105,40,115,37,63,37,593,140,814,904
"New Hampshire",2021,10,248,NULL,48,NULL,12,0,14,NULL,NULL,NULL,54,13,20,23
"Puerto Rico",2022,8,642,13,101,57,60,18,20,14,18,23,108,29,41,50
"Iowa",2021,11,679,NULL,116,19,29,11,32,10,11,12,164,34,86,98
"Nebraska",2021,1,379,NULL,64,11,18,NULL,21,NULL,NULL,NULL,72,16,63,74
"Illinois",2022,4,1885,30,421,61,66,27,93,28,54,29,487,117,25,41
"United States",2021,2,65359,838,11531,2126,2493,843,2710,894,1100,621,14070,3285,11085,12531
"South Carolina",2020,7,1157,17,206,35,59,13,53,13,18,12,229,54,189,206
"Florida",2021,7,4251,53,902,146,132,58,218,50,61,72,944,303,379,419
"Connecticut",2020,10,583,12,140,16,21,NULL,19,12,14,NULL,127,29,28,31
"New Jersey",2020,10,1286,35,281,37,45,20,48,38,28,20,323,63,50,60
"West Virginia",2020,1,481,12,82,20,17,11,40,11,13,NULL,111,20,36,39
"North Carolina",2020,4,1860,34,377,66,99,43,110,31,39,18,390,108,83,91
"Delaware",2022,6,173,0,42,NULL,12,NULL,12,NULL,NULL,0,43,14,NULL,11
"Alaska",2020,2,72,0,17,NULL,0,0,NULL,NULL,0,0,18,NULL,0,0
"Rhode Island",2021,11,208,0,40,10,15,NULL,13,NULL,10,NULL,44,11,15,15
"Delaware",2020,2,167,0,41,NULL,NULL,NULL,11,NULL,NULL,0,38,11,0,0
"Washington",2021,11,1237,12,253,41,74,13,49,18,12,16,255,67,138,151
"Texas",2022,3,4240,73,823,157,185,61,202,65,101,63,983,242,269,353
"Nebraska",2020,9,317,NULL,64,11,17,NULL,17,NULL,NULL,NULL,65,19,25,27
